v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	500	50	5	NA
-2	500	50	10	NA
-2	500	50	16	NA
-2	500	50	25	3884667
-2	500	20	1	NA
-2	500	20	2	NA
-2	500	20	3	NA
-2	500	20	4	NA
-2	500	20	5	NA
-2	500	20	6	NA
-2	500	20	10	NA
-2	500	10	1	NA
-2	500	10	2	NA
-2	500	10	3	NA
-2	500	10	4	NA
-2	500	10	5	NA
-2	500	5	1	NA
-2	500	5	2	NA
-2	500	5	3	NA
-2	500	5	4	NA
-2	500	5	5	NA
-2	500	5	0	NA
-2	700	1000	1	NA
-2	700	1000	2	NA
-2	700	1000	3	NA
-2	700	1000	4	NA
-2	700	1000	5	NA
-2	700	1000	100	9898667
-2	700	1000	200	10250667
-2	700	1000	333	10938000
-2	700	1000	500	10863333
-2	700	800	1	NA
-2	700	800	2	NA
-2	700	800	3	NA
-2	700	800	4	NA
-2	700	800	5	NA
-2	700	800	80	9113333
-2	700	800	160	10006000
-2	700	800	266	10120667
-2	700	800	400	10886000
-2	700	600	1	NA
-2	700	600	2	NA
-2	700	600	3	NA
-2	700	600	4	NA
-2	700	600	5	NA
-2	700	600	60	8758667
-2	700	600	120	9689333
-2	700	600	200	9752000
-2	700	600	300	10167333
-2	700	400	1	NA
-2	700	400	2	NA
-2	700	400	3	NA
-2	700	400	4	NA
-2	700	400	5	NA
-2	700	400	40	6020667
-2	700	400	80	7784000
-2	700	400	133	8248000
-2	700	400	200	9244000
-2	700	200	1	NA
-2	700	200	2	NA
-2	700	200	3	NA
-2	700	200	4	NA
-2	700	200	5	NA
-2	700	200	20	4846667
-2	700	200	40	4968000
-2	700	200	66	6420667
-2	700	200	100	6300000
-2	700	100	1	NA
-2	700	100	2	NA
-2	700	100	3	NA
-2	700	100	4	NA
-2	700	100	5	NA
-2	700	100	10	NA
-2	700	100	20	4372000
-2	700	100	33	3884667
-2	700	100	50	4414000
-2	700	50	1	NA
-2	700	50	2	NA
-2	700	50	3	NA
-2	700	50	4	NA
-2	700	50	5	NA
-2	700	50	10	NA
-2	700	50	16	NA
-2	700	50	25	3884667
-2	700	20	1	NA
-2	700	20	2	NA
-2	700	20	3	NA
-2	700	20	4	NA
-2	700	20	5	NA
-2	700	20	6	NA
-2	700	20	10	NA
-2	700	10	1	NA
-2	700	10	2	NA
-2	700	10	3	NA
-2	700	10	4	NA
-2	700	10	5	NA
-2	700	5	1	NA
-2	700	5	2	NA
-2	700	5	3	NA
-2	700	5	4	NA
-2	700	5	5	NA
-2	700	5	0	NA
-2	1000	1000	1	NA
-2	1000	1000	2	NA
-2	1000	1000	3	NA
-2	1000	1000	4	NA
-2	1000	1000	5	NA
-2	1000	1000	100	9898667
-2	1000	1000	200	10250667
-2	1000	1000	333	10938000
-2	1000	1000	500	10863333
-2	1000	800	1	NA
-2	1000	800	2	NA
-2	1000	800	3	NA
-2	1000	800	4	NA
-2	1000	800	5	NA
-2	1000	800	80	9113333
-2	1000	800	160	10006000
-2	1000	800	266	10120667
-2	1000	800	400	10886000
-2	1000	600	1	NA
-2	1000	600	2	NA
-2	1000	600	3	NA
-2	1000	600	4	NA
-2	1000	600	5	NA
-2	1000	600	60	8758667
-2	1000	600	120	9689333
-2	1000	600	200	9752000
-2	1000	600	300	10167333
-2	1000	400	1	NA
-2	1000	400	2	NA
-2	1000	400	3	NA
-2	1000	400	4	NA
-2	1000	400	5	NA
-2	1000	400	40	6020667
-2	1000	400	80	7784000
-2	1000	400	133	8248000
-2	1000	400	200	9244000
-2	1000	200	1	NA
-2	1000	200	2	NA
-2	1000	200	3	NA
-2	1000	200	4	NA
-2	1000	200	5	NA
-2	1000	200	20	4846667
-2	1000	200	40	4968000
-2	1000	200	66	6420667
-2	1000	200	100	6300000
-2	1000	100	1	NA
-2	1000	100	2	NA
-2	1000	100	3	NA
-2	1000	100	4	NA
-2	1000	100	5	NA
-2	1000	100	10	NA
-2	1000	100	20	4372000
-2	1000	100	33	3884667
-2	1000	100	50	4414000
-2	1000	50	1	NA
-2	1000	50	2	NA
-2	1000	50	3	NA
-2	1000	50	4	NA
-2	1000	50	5	NA
-2	1000	50	10	NA
-2	1000	50	16	NA
-2	1000	50	25	3884667
-2	1000	20	1	NA
-2	1000	20	2	NA
-2	1000	20	3	NA
-2	1000	20	4	NA
