fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 145649	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	438	TRUE	0.0142239551461662	0.292504619882709	3182	278	0.016231900715155	13510000	88
20220425 145829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	428	TRUE	0.0105117099449491	0.577804380312318	2394	157	0.0162341053856174	13628000	89
20220425 145922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0178891716950957	0.755362566951855	49	189	0.0201914714574602	7171000	90
20220425 150024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.010025433690315	0.881350736319102	1164	930	0.00963707308549865	12375000	91
20220425 150141	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	421	TRUE	0.0158374409946579	0.563654985246866	3249	18	0.0208064037957089	13075000	92
20220425 150326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	835	TRUE	0.0102463426667038	0.843064155209626	4212	555	0.02180214055393	12735000	93
20220425 150414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0138108442186434	0.711186656216776	3283	18	0.0159695248420758	13594000	94
20220425 150514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	222	TRUE	0.0272429586224742	0.5254615943057	2458	1019	0.021233119800662	13075000	95
20220425 150554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0349886186219202	0.350135474183154	1008	945	0.0162416218538666	13415000	96
20220425 150636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0346142199181911	0.424080071786677	2638	381	0.0193881585939822	13376000	97
20220425 150737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	0.015547099324728	0.783327547227906	5185	21	0.0193202589529245	13032000	98
20220425 150921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	506	TRUE	0.0100097499603105	0.444382436051593	4656	59	0.0167149692821246	13651000	99
20220425 151030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	423	TRUE	0.016347129055982	0.332398930299218	6397	1019	0.0166954565135735	13604000	100
20220425 151238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	835	TRUE	0.0103899820531824	0.46893486560288	7843	667	0.0131468596413777	13245000	101
20220425 151326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0330039739569966	0.611225953939049	1495	747	0.0152555378634513	13303000	102
20220425 151430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	606	TRUE	0.0104988221444898	0.807284814207365	7920	64	0.0152307949182202	13108000	103
20220425 151546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	530	TRUE	0.0110220475429128	0.619484629571938	4309	20	0.0134293415654828	13414000	104
20220425 151714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	499	TRUE	0.0101665652389898	0.312765602444948	7092	271	0.021247673728647	12864000	105
20220425 151856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	491	TRUE	0.0103809331025409	0.437959633606254	4402	964	0.0163217020203785	13708000	106
20220425 151907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.202984158843631	0.210109001531849	1893	849	0.0208204574917181	12003000	107
20220425 152038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	448	TRUE	0.0106606014405011	0.587386047496659	3969	498	0.0159041536408761	13631000	108
20220425 152218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	497	TRUE	0.0105193977476629	0.692107720669732	2515	920	0.0142723593086336	13671000	109
20220425 152257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	230	TRUE	0.0318333779732254	0.315132324434643	1120	18	0.0173186170508193	13233000	110
20220425 152319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0947606443508719	0.562767867080762	6022	1023	0.018789795242136	13363000	111
20220425 152340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0712543777408066	0.338093418833066	5840	981	0.0132876214355937	13166000	112
20220425 152358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.14354242287039	0.2009691774928	5016	1023	0.0299950176591846	11938000	113
20220425 152412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.107383520239643	0.804016184667719	1756	90	0.0160673291381712	12997000	114
20220425 152623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	602	TRUE	0.0101051794436993	0.336144656728197	1119	90	0.0132746362820911	13416000	115
20220425 152634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.299576151306194	0.44340011862471	7997	83	0.0122816784402282	12527000	116
20220425 152652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0898857419720447	0.347444990861856	5101	139	0.0160732315571257	13078000	117
20220425 152707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.299409814188373	0.999378277451664	640	1024	0.0131208640627444	9813000	118
20220425 152723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.112434595199219	0.343854047233229	3818	872	0.0163003309478907	13227000	119
20220425 152732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.29975669969018	0.995563513099005	4978	394	0.027460829311076	12271000	120
20220425 152928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	389	TRUE	0.0101111975250856	0.346181020890816	952	574	0.0160053509142989	13493000	121
20220425 152939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.299729809712124	0.203003285354946	7087	123	0.0196356393662987	13036000	122
20220425 152952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.196443927575978	0.337968445031883	4236	183	0.0150403618701013	12874000	123
20220425 153003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.279395262001437	0.200496809038709	7998	44	0.0276079660644391	11666000	124
